make,model,year,transmission,drive,date_range,fuel_type_summary,class_summary,cylinders,displ,co2,barrels08,fuelCost08,highway08,city08,comb08
Mazda,6,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.4805,1900,24,17,20
Mazda,6,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.4805,1900,25,17,20
Mercedes-Benz,E320,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,16.4805,2350,26,18,20
Mercedes-Benz,E320 4matic,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,17.347894736842107,2500,23,17,19
Mercedes-Benz,E320 Cdi,2005,Automatic,2WD,2000-2010,Diesel,Car,6.0,3.2,-1,14.155,1600,33,23,27
Mercedes-Benz,E500,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,18.311666666666667,2600,23,15,18
Mercedes-Benz,E500 4matic,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,20.600625,2950,19,14,16
Mercedes-Benz,E55 AMG,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.4,-1,21.974,3150,19,13,15
Mitsubishi,Diamante Sedan,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,18.311666666666667,2600,23,15,18
Mitsubishi,Galant,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.330869565217393,1650,27,20,23
Mitsubishi,Galant,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,17.347894736842107,2500,25,17,19
Nissan,Altima,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.5,-1,14.330869565217393,1650,27,21,23
Nissan,Altima,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.5,-1,13.73375,1550,29,21,24
Nissan,Altima,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.5,-1,15.695714285714288,1800,25,19,21
Nissan,Altima,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.5,-1,15.695714285714288,1800,26,18,21
Nissan,Altima,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,15.695714285714288,1800,28,18,21
Nissan,Maxima,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.5,-1,15.695714285714288,1800,27,18,21
Nissan,Maxima,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,15.695714285714288,1800,26,18,21
Pontiac,Grand Prix,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,16.4805,2350,26,17,20
Pontiac,Grand Prix,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.695714285714288,1800,27,18,21
Pontiac,Grand Prix,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,17.347894736842107,2500,24,16,19
Rolls-Royce,Phantom,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,6.7,-1,25.354615384615386,3600,17,11,13
Saab,9-5,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,15.695714285714288,2250,28,18,21
Saab,9-5,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.3,-1,16.4805,2350,26,17,20
Saturn,L300,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.695714285714288,1800,26,18,21
Suzuki,Verona,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,1800,25,18,21
Toyota,Camry,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.1844,1500,31,21,25
Toyota,Camry,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.73375,1550,30,21,24
Toyota,Camry,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.695714285714288,1800,26,18,21
Toyota,Camry,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.3,-1,15.695714285714288,1800,27,18,21
Toyota,Prius,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,7.165434782608696,800,45,48,46
Volkswagen,Passat,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.330869565217393,2050,28,19,23
Volkswagen,Passat,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.98227272727273,2150,28,19,22
Volkswagen,Passat,2005,Automatic,2WD,2000-2010,Diesel,Car,4.0,2.0,-1,14.155,1600,34,23,27
Volkswagen,Passat,2005,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,16.4805,2350,26,17,20
Volkswagen,Passat,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,16.4805,2350,25,17,20
Volvo,S80 AWD,2005,Automatic,2WD,2000-2010,Gas,Car,5.0,2.5,-1,16.4805,2350,24,17,20
Volvo,S80 FWD,2005,Automatic,2WD,2000-2010,Gas,Car,5.0,2.5,-1,14.98227272727273,2150,27,18,22
Volvo,S80 FWD,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,2.9,-1,17.347894736842107,2500,24,16,19
Audi,A8 L,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,18.311666666666667,2600,22,16,18
Audi,A8 L,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,6.0,-1,21.974,3150,19,13,15
Bentley,Arnage LWB,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,6.8,-1,29.96454545454546,4300,13,9,11
BMW,745i,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,17.347894736842107,2500,24,16,19
BMW,745li,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,17.347894736842107,2500,24,16,19
BMW,760i,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,6.0,-1,20.600625,2950,21,13,16
BMW,760li,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,6.0,-1,20.600625,2950,21,13,16
Buick,LeSabre,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.695714285714288,1800,27,18,21
Buick,Park Avenue,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,16.4805,2350,26,17,20
Buick,Park Avenue,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.695714285714288,1800,27,18,21
Cadillac,Armored Deville,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,21.974,2500,18,13,15
Cadillac,DeVille,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,18.311666666666667,2100,22,15,18
Cadillac,DeVille,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,17.347894736842107,1950,24,16,19
Cadillac,Funeral Coach / Hearse,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,21.974,2500,18,13,15
Cadillac,Limousine,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,20.600625,2350,20,13,16
Chevrolet,Impala,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.4,-1,14.98227272727273,1700,29,19,22
Chevrolet,Impala,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,16.4805,2350,26,17,20
Chevrolet,Impala,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.695714285714288,1800,27,18,21
Chevrolet,Malibu Maxx,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,14.330869565217393,1650,28,20,23
Chrysler,300C AWD,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,18.311666666666667,2100,22,15,18
Chrysler,300C AWD,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,18.311666666666667,2100,22,15,18
Chrysler,300C/SRT-8,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,2.7,-1,15.695714285714288,1800,26,18,21
Chrysler,300C/SRT-8,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,16.4805,1900,25,17,20
Chrysler,300C/SRT-8,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,18.311666666666667,2100,23,15,18
Ford,Crown Victoria,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,17.347894736842107,1950,23,16,19
Ford,Five Hundred AWD,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,17.347894736842107,1950,23,17,19
Ford,Five Hundred FWD,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.4805,1900,25,18,20
Ford,Five Hundred FWD,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.695714285714288,1800,26,19,21
Ford,Taurus,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.4805,1900,25,18,20
Ford,Taurus,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.4805,1900,25,18,20
Jaguar,Super V8,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,18.311666666666667,2600,22,15,18
Jaguar,Vdp Lwb,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,17.347894736842107,2500,25,16,19
Jaguar,XJ8 4.2 Litre,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,17.347894736842107,2500,25,16,19
Jaguar,XJ8l,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,17.347894736842107,2500,25,16,19
Jaguar,XJR 4.2 Litre,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,18.311666666666667,2600,22,15,18
Kia,Amanti,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,18.311666666666667,2100,23,15,18
Lexus,LS 430,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,18.311666666666667,2600,23,16,18
Mercury,Grand Marquis,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,17.347894736842107,1950,23,16,19
Mercury,Montego AWD,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,17.347894736842107,1950,23,17,19
Mercury,Montego FWD,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.4805,1900,25,18,20
Mercury,Montego FWD,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.695714285714288,1800,26,19,21
Lincoln,Town Car,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,17.347894736842107,1950,23,16,19
Maserati,Quattroporte,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,27.4675,3900,14,11,12
Maybach,57,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,5.5,-1,25.354615384615386,3600,16,11,13
Maybach,62,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,5.5,-1,25.354615384615386,3600,16,11,13
Mercedes-Benz,S430,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,17.347894736842107,2500,24,16,19
Mercedes-Benz,S430 4matic,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,19.388823529411766,2750,21,15,17
Mercedes-Benz,S500,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,19.388823529411766,2750,22,14,17
Mercedes-Benz,S500 4matic,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,20.600625,2950,20,14,16
Mercedes-Benz,S55 AMG,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.4,-1,21.974,3150,20,13,15
Mercedes-Benz,S600,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,5.5,-1,25.354615384615386,3600,17,11,13
Pontiac,Bonneville,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.695714285714288,1800,27,18,21
Pontiac,Bonneville,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,18.311666666666667,2100,22,15,18
Volkswagen,Phaeton,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,20.600625,2950,21,14,16
Volkswagen,Phaeton,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,6.0,-1,25.354615384615386,3600,17,11,13
Audi,A4 Avant quattro,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,14.98227272727273,2150,28,19,22
Audi,A4 Avant quattro,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,15.695714285714288,2250,26,18,21
Audi,A4 Avant quattro,2005,Manual,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,17.347894736842107,2500,24,16,19
Audi,A4 Avant quattro,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,17.347894736842107,2500,24,16,19
Audi,S4 Avant,2005,Manual,2WD,2000-2010,Gas,Wagon,8.0,4.2,-1,20.600625,2950,20,13,16
Audi,S4 Avant,2005,Automatic,2WD,2000-2010,Gas,Wagon,8.0,4.2,-1,20.600625,2950,21,14,16
BMW,325i Sport Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,6.0,2.5,-1,15.695714285714288,2250,27,18,21
BMW,325i Sport Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,2.5,-1,16.4805,2350,25,17,20
BMW,325xi Sport Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,6.0,2.5,-1,16.4805,2350,24,17,20
BMW,325xi Sport Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,2.5,-1,16.4805,2350,24,17,20
Chevrolet,Optra Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,15.695714285714288,1800,26,18,21
Chevrolet,Optra Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,15.695714285714288,1800,27,18,21
Mercedes-Benz,C240 4matic (Wagon),2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,2.6,-1,17.347894736842107,2500,22,17,19
Mitsubishi,Lancer Sportback,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.4,-1,14.98227272727273,1700,26,20,22
Pontiac,Vibe,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,12.207777777777778,1400,31,25,27
Pontiac,Vibe AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,13.1844,1500,29,22,25
Pontiac,Vibe,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,11.36586206896552,1300,33,26,29
Pontiac,Vibe,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,13.1844,1900,29,22,25
Saab,9-2x Wagon AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,17.347894736842107,2500,23,17,19
Saab,9-2x Wagon AWD,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,16.4805,2350,24,17,20
Saab,9-2x Wagon AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.5,-1,14.330869565217393,1650,26,20,23
Saab,9-2x Wagon AWD,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.5,-1,14.98227272727273,1700,27,20,22
Subaru,Impreza Wagon/Outback SPT AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,16.4805,2350,24,17,20
Subaru,Impreza Wagon/Outback SPT AWD,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,16.4805,2350,25,18,20
Subaru,Impreza Wagon/Outback SPT AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.5,-1,14.98227272727273,1700,26,20,22
Subaru,Impreza Wagon/Outback SPT AWD,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.5,-1,14.330869565217393,1650,27,20,23
Suzuki,Aerio SX,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.3,-1,13.73375,1550,28,22,24
Suzuki,Aerio SX,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.3,-1,13.73375,1550,28,22,24
Suzuki,Aerio SX AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.3,-1,14.330869565217393,1650,26,21,23
Suzuki,Forenza Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,15.695714285714288,1800,26,18,21
Suzuki,Forenza Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,15.695714285714288,1800,27,18,21
Toyota,Matrix,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,12.207777777777778,1400,31,25,27
Toyota,Matrix AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,13.1844,1500,29,22,25
Toyota,Matrix,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,11.36586206896552,1300,33,26,29
Toyota,Matrix,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,13.1844,1900,29,22,25
Scion,xB,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.5,-1,11.36586206896552,1300,32,27,29
Scion,xB,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.5,-1,11.771785714285713,1350,31,27,28
Volkswagen,Jetta Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,13.73375,1950,29,21,24
Volkswagen,Jetta Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,14.98227272727273,2150,27,19,22
Volkswagen,Jetta Wagon,2005,Manual,2WD,2000-2010,Diesel,Wagon,4.0,1.9,-1,11.240735294117648,1250,39,31,34
Volkswagen,Jetta Wagon,2005,Automatic,2WD,2000-2010,Diesel,Wagon,4.0,1.9,-1,11.94328125,1350,39,28,32
Volkswagen,Jetta Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,14.330869565217393,1650,27,20,23
Volkswagen,Jetta Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,13.73375,1550,28,21,24
Volvo,V50 AWD,2005,Manual,2WD,2000-2010,Gas,Wagon,5.0,2.5,-1,16.4805,2350,25,17,20
Volvo,V50 AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,5.0,2.5,-1,16.4805,2350,24,17,20
Volvo,V50 FWD,2005,Manual,2WD,2000-2010,Gas,Wagon,5.0,2.4,-1,14.98227272727273,2150,27,19,22
Volvo,V50 FWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,5.0,2.4,-1,14.98227272727273,2150,27,19,22
Volvo,V50 FWD,2005,Manual,2WD,2000-2010,Gas,Wagon,5.0,2.5,-1,14.98227272727273,2150,29,19,22
Volvo,V50 FWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,5.0,2.5,-1,14.98227272727273,2150,27,19,22
Ford,Focus Station Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,13.1844,1500,29,22,25
Ford,Focus Station Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.0,-1,12.677307692307693,1450,32,22,26
Ford,Taurus Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,17.347894736842107,1950,23,17,19
Ford,Taurus Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,17.347894736842107,1950,24,17,19
Mercury,Sable Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,17.347894736842107,1950,23,17,19
Mercury,Sable Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,17.347894736842107,1950,24,17,19
Mazda,6 Sport Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,16.4805,1900,24,17,20
Mazda,6 Sport Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,16.4805,1900,25,17,20
Mercedes-Benz,E320 (Wagon),2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.2,-1,16.4805,2350,25,17,20
Mercedes-Benz,E320 4matic (Wagon),2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.2,-1,17.347894736842107,2500,22,16,19
Mercedes-Benz,E500 4matic (Wagon),2005,Automatic,2WD,2000-2010,Gas,Wagon,8.0,5.0,-1,20.600625,2950,18,14,16
Mercedes-Benz,E55 AMG (Wagon),2005,Automatic,2WD,2000-2010,Gas,Wagon,8.0,5.4,-1,21.974,3150,19,13,15
Saab,9-5 Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.3,-1,15.695714285714288,2250,28,18,21
Saab,9-5 Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.3,-1,16.4805,2350,26,17,20
Saturn,LW300,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,3.0,-1,15.695714285714288,1800,26,18,21
Subaru,Legacy Wagon AWD,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.5,-1,17.347894736842107,2500,23,17,19
Subaru,Legacy Wagon AWD,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,2.5,-1,14.330869565217393,1650,27,20,23
Subaru,Legacy Wagon AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.5,-1,14.330869565217393,1650,27,20,23
Subaru,Legacy Wagon AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,2.5,-1,17.347894736842107,2500,23,17,19
Volkswagen,Passat Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,14.330869565217393,2050,28,19,23
Volkswagen,Passat Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,14.98227272727273,2150,28,19,22
Volkswagen,Passat Wagon,2005,Automatic,2WD,2000-2010,Diesel,Wagon,4.0,2.0,-1,14.155,1600,34,23,27
Volkswagen,Passat Wagon,2005,Manual,2WD,2000-2010,Gas,Wagon,6.0,2.8,-1,16.4805,2350,26,17,20
Volkswagen,Passat Wagon,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,2.8,-1,16.4805,2350,25,17,20
Volkswagen,Passat Wagon 4motion,2005,Manual,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,14.98227272727273,2150,28,19,22
Volkswagen,Passat Wagon 4motion,2005,Automatic,2WD,2000-2010,Gas,Wagon,4.0,1.8,-1,15.695714285714288,2250,26,18,21
Volkswagen,Passat Wagon 4motion,2005,Automatic,2WD,2000-2010,Gas,Wagon,6.0,2.8,-1,17.347894736842107,2500,24,17,19
Volvo,V70 AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,5.0,2.5,-1,16.4805,2350,24,17,20
Volvo,V70 FWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,5.0,2.4,-1,15.695714285714288,2250,26,18,21
Volvo,V70 FWD,2005,Manual,2WD,2000-2010,Gas,Wagon,5.0,2.4,-1,14.98227272727273,2150,27,19,22
Volvo,V70 FWD,2005,Manual,2WD,2000-2010,Gas,Wagon,5.0,2.4,-1,16.4805,2350,24,17,20
Volvo,V70 FWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,5.0,2.4,-1,16.4805,2350,24,17,20
Volvo,V70 FWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,5.0,2.5,-1,14.98227272727273,2150,27,18,22
Volvo,V70 R AWD,2005,Manual,2WD,2000-2010,Gas,Wagon,5.0,2.5,-1,17.347894736842107,2500,23,16,19
Volvo,V70 R AWD,2005,Automatic,2WD,2000-2010,Gas,Wagon,5.0,2.5,-1,18.311666666666667,2600,22,16,18
Chevrolet,Silverado 15 Hybrid 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,5.3,-1,19.388823529411766,2200,19,16,17
Chevrolet,Silverado 1500 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,6.0,4.3,-1,20.600625,2350,19,14,16
Chevrolet,Silverado 1500 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,6.0,4.3,-1,20.600625,2350,20,14,16
Chevrolet,Silverado 1500 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,4.8,-1,19.388823529411766,2200,19,15,17
Chevrolet,Silverado 1500 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,8.0,4.8,-1,20.600625,2350,19,14,16
Chevrolet,Silverado 1500 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,5.3,-1,20.600625,2350,19,14,16
Chevrolet,Silverado 1500 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,6.0,-1,21.974,3150,18,13,15
Chevrolet,Colorado 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,4.0,2.8,-1,18.311666666666667,2100,23,16,18
Chevrolet,Colorado 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,4.0,2.8,-1,15.695714285714288,1800,24,18,21
Chevrolet,Colorado 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,5.0,3.5,-1,18.311666666666667,2100,22,16,18
Chevrolet,Colorado 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,5.0,3.5,-1,17.347894736842107,1950,23,17,19
Chevrolet,Colorado Crew Cab 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,4.0,2.8,-1,18.311666666666667,2100,23,16,18
Chevrolet,Colorado Crew Cab 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,4.0,2.8,-1,15.695714285714288,1800,24,18,21
Chevrolet,Colorado Crew Cab 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,5.0,3.5,-1,18.311666666666667,2100,22,16,18
Chevrolet,SSR Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,6.0,-1,21.974,3150,18,14,15
Chevrolet,SSR Pickup 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,8.0,6.0,-1,23.543571428571425,3350,19,12,14
Dodge,Dakota Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,6.0,3.7,-1,19.388823529411766,2200,20,15,17
Dodge,Dakota Pickup 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,6.0,3.7,-1,20.600625,2350,20,14,16
Dodge,Dakota Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,4.7,-1,21.974,2500,18,14,15
Dodge,Ram 1500 Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,6.0,3.7,-1,20.600625,2350,19,14,16
Dodge,Ram 1500 Pickup 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,6.0,3.7,-1,20.600625,2350,20,14,16
Dodge,Ram 1500 Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,4.7,-1,23.543571428571425,2700,17,13,14
Dodge,Ram 1500 Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,5.7,-1,23.543571428571425,2700,17,12,14
Dodge,Ram 1500 Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,10.0,8.3,-1,36.623333333333335,5250,11,8,9
Dodge,Ram 1500 Pickup 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,10.0,8.3,-1,32.961,4700,14,9,10
Ford,F150 Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,6.0,4.2,-1,21.974,2500,18,14,15
Ford,F150 Pickup 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,6.0,4.2,-1,21.974,2500,19,13,15
Ford,F150 Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,4.6,-1,21.974,2500,18,13,15
Ford,F150 Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,8.0,5.4,-1,21.974,2500,17,13,15
Ford,Ranger Pickup 2WD,2005,Automatic,2WD,2000-2010,Gas,Pickup,4.0,2.3,-1,15.695714285714288,1800,24,19,21
Ford,Ranger Pickup 2WD,2005,Manual,2WD,2000-2010,Gas,Pickup,4.0,2.3,-1,14.330869565217393,1650,27,21,23
